credit_card_id,customer_id,card_number,card_expiry_date,bank_name
C001,1,4556-1837-2013-4896,01/07/2024,Stanbic IBTC Bank
C002,2,3762-5112-4456-1244,01/05/2025,Zenith Bank
C003,3,5248-8802-9967-8311,01/04/2024,WEMA Bank
C004,4,6719-3465-0457-2475,01/07/2025,Union Bank
C005,5,3590-6071-8890-5436,01/02/2024,Fidelity Bank
C006,6,2201-3748-6942-2287,01/01/2025,Zenith Bank
C007,7,8126-8395-6891-1657,01/04/2024,United Bank of Africa
C008,8,6605-8811-1765-2246,01/05/2025,Polaris Bank
C009,9,9024-3197-0233-3694,01/11/2025,Fidelity Bank
C010,10,5401-0319-9408-7214,01/03/2025,Unity Bank
C011,11,4486-3751-2107-4653,01/10/2024,Heritage Bank
C012,12,7543-2999-7763-8939,01/05/2024,Standered Chartered
C013,13,9251-0962-3836-9712,01/04/2024,Unity Bank
C014,14,3377-2356-2159-3999,01/09/2025,Keystone Bank
C015,15,1376-5689-9006-3888,01/10/2024,Access Bank
C016,16,6813-6416-5233-7003,01/12/2024,Diamond Bank
C017,17,7876-6332-1892-7512,01/11/2024,Stanbic IBTC Bank
C018,18,5142-4560-6437-1116,01/04/2025,Polaris Bank
C019,19,3989-1601-0976-3145,01/08/2024,First Bank of Nigeria
C020,20,1035-9340-3105-9387,01/10/2024,Heritage Bank
C021,21,9658-1973-0257-2803,01/10/2024,Zenith Bank
C022,22,2344-9619-1359-6684,01/11/2025,Stanbic IBTC Bank
C023,23,6487-1268-0741-5026,01/09/2024,Access Bank
C024,24,8792-7441-0779-4012,01/02/2025,Access Bank
C025,25,7150-0137-9021-9821,01/12/2024,Union Bank
C026,26,1610-4226-3298-6209,01/06/2024,Stanbic IBTC Bank
C027,27,2312-3233-8092-5430,01/02/2025,Union Bank
C028,28,8301-3444-3810-9349,01/04/2024,Unity Bank
C029,29,7464-8135-5206-7895,01/11/2024,Stanbic IBTC Bank
C030,30,6527-6676-6985-3242,01/02/2024,GT Bank
C031,31,5763-8713-3642-2867,01/09/2024,Polaris Bank
C032,32,4335-9272-1185-8896,01/02/2025,GT Bank
C033,33,7819-2687-9571-6235,01/03/2025,Union Bank
C034,34,1665-1917-5737-2776,01/06/2025,Access Bank
C035,35,9259-8829-3673-9455,01/04/2024,Union Bank
C036,36,3247-9866-2312-6700,01/05/2024,Zenith Bank
C037,37,8026-1101-9429-3567,01/01/2024,Heritage Bank
C038,38,9958-6131-8784-9310,01/06/2024,Unity Bank
C039,39,5871-1197-3359-3272,01/04/2025,Heritage Bank
C040,40,3192-9042-3854-6413,01/10/2025,Standered Chartered
C041,41,4484-6884-1430-4689,01/07/2024,Heritage Bank
C042,42,7332-2212-7982-9073,01/10/2024,United Bank of Africa
C043,43,6511-3454-1577-5559,01/11/2024,Unity Bank
C044,44,1179-5380-4998-0141,01/07/2024,Diamond Bank
C045,45,2267-0388-0348-8016,01/12/2024,WEMA Bank
C046,46,8076-3333-4527-2945,01/06/2025,WEMA Bank
C047,47,2200-5143-2816-4573,01/03/2025,Union Bank
C048,48,9101-3961-2122-9868,01/08/2024,Standered Chartered
C049,49,3770-6639-2106-1719,01/01/2025,First City Monument Bank
C050,50,1789-6771-2517-7098,01/11/2024,Zenith Bank
C051,51,7700-3306-7060-8233,01/06/2024,Sterling Bank
C052,52,1853-8983-8483-3360,01/12/2024,Fidelity Bank
C053,53,2415-3314-7331-7705,01/03/2024,United Bank of Africa
C054,54,8146-8688-2789-9528,01/12/2025,Diamond Bank
C055,55,6951-7298-2798-7922,01/09/2025,Polaris Bank
C056,56,7973-4051-3217-7579,01/08/2024,Stanbic IBTC Bank
C057,57,9861-1782-5508-4322,01/03/2024,United Bank of Africa
C058,58,3163-4821-8459-8952,01/07/2024,Standered Chartered
C059,59,8057-6550-6158-4492,01/04/2024,Unity Bank
C060,60,2202-6038-7659-4962,01/04/2025,Stanbic IBTC Bank
C061,61,9508-8235-1786-2650,01/11/2025,Stanbic IBTC Bank
C062,62,9703-6755-4717-8376,01/03/2025,Standered Chartered
C063,63,6781-9652-2639-5848,01/02/2024,Keystone Bank
C064,64,2815-2586-3771-4537,01/02/2024,Stanbic IBTC Bank
C065,65,5861-3310-3668-2014,01/04/2024,Zenith Bank
C066,66,2726-4435-2480-4544,01/06/2024,Sterling Bank
C067,67,8684-2406-7111-6677,01/04/2024,Eco Bank
C068,68,1910-8449-2234-9696,01/10/2024,Zenith Bank
C069,69,6407-8915-7279-6823,01/08/2025,Diamond Bank
C070,70,4377-1730-5794-6953,01/10/2025,Stanbic IBTC Bank
C071,71,4457-7794-2883-9811,01/08/2025,Polaris Bank
C072,72,7190-9721-2516-3091,01/11/2025,Polaris Bank
C073,73,3021-3469-1584-8245,01/10/2025,Sterling Bank
C074,74,5983-6415-1841-6927,01/06/2025,Sterling Bank
C075,75,7218-6595-4501-6059,01/04/2024,Unity Bank
C076,76,6735-7641-2748-4636,01/05/2024,Keystone Bank
C077,77,2337-3044-6383-9549,01/04/2024,United Bank of Africa
C078,78,4329-1620-2664-2667,01/12/2025,Fidelity Bank
C079,79,5241-7951-9940-6108,01/12/2025,Heritage Bank
C080,80,7116-6687-5770-2304,01/08/2024,Unity Bank
