customer_id,customer_name,email,phone,dob,gender,country,city
1,John Martinez,JohnMartinez20@gmail.com,207-319-8171,16/02/1989,M,Nigeria,Ugep
2,Virginia Read,VirginiaRead70@gmail.com,704-915-9203,10/08/1992,F,Nigeria,Kontagora
3,Tim Branch,TimBranch91@gmail.com,917-398-6976,21/06/1985,M,Nigeria,Kaduna
4,Garry Joyce,GarryJoyce52@gmail.com,520-880-0374,28/12/1987,M,Nigeria,Ifako-Ijaiye
5,Julia Riddick,JuliaRiddick22@gmail.com,225-247-2241,04/05/1974,F,Nigeria,Awka
6,Michael Schaffer,MichaelSchaffer20@gmail.com,207-386-0378,07/07/1982,M,Nigeria,Suleja
7,Kenneth Maize,KennethMaize81@gmail.com,814-935-8063,05/11/1979,M,Nigeria,Ikeja
8,Mark Harding,MarkHarding31@gmail.com,310-258-0712,19/03/1983,M,Nigeria,Ikeja
9,Marie Horton,MarieHorton51@gmail.com,510-968-7667,28/01/1998,F,Nigeria,Ilesha
10,Cynthia Gaskin,CynthiaGaskin71@gmail.com,719-691-2601,15/09/1977,F,Nigeria,Port Harcourt
11,Linda Thomas,LindaThomas63@gmail.com,636-625-6334,08/04/1981,F,Nigeria,Jos
12,Barbara Costa,BarbaraCosta83@gmail.com,832-647-7230,27/10/1990,F,Nigeria,Warri
13,Mae Sikes,MaeSikes61@gmail.com,618-443-1355,02/07/1991,F,Nigeria,Yola
14,Angelo Castillo,AngeloCastillo86@gmail.com,860-348-9657,09/02/1987,M,Nigeria,Owo
15,Diane Malcolm,DianeMalcolm76@gmail.com,765-759-2565,07/08/1995,F,Nigeria,Ikot Ekpene
16,Cindy Shufelt,CindyShufelt51@gmail.com,516-925-9440,02/01/1980,F,Nigeria,Yenagoa
17,Deborah Pines,DeborahPines41@gmail.com,410-737-8298,09/11/1997,F,Nigeria,Ondo
18,Jackie Baca,JackieBaca81@gmail.com,817-750-5474,14/12/1972,F,Nigeria,Zaria
19,Susan Hammel,SusanHammel40@gmail.com,405-605-4586,12/09/1986,F,Nigeria,Ile-Ife
20,David Riedel,DavidRiedel50@gmail.com,502-939-9444,25/05/1995,M,Nigeria,Ogbomoso
21,Jack Herndon,JackHerndon61@gmail.com,617-342-3912,21/06/1998,M,Nigeria,Lafia
22,Jennifer Fulp,JenniferFulp44@gmail.com,443-354-1404,09/02/1985,F,Nigeria,Maiduguri
23,Nancy Johnson,NancyJohnson54@gmail.com,540-866-0715,22/04/1976,F,Nigeria,Makurdi
24,Ann McCafferty,AnnMcCafferty73@gmail.com,732-822-4058,19/05/1988,F,Nigeria,Ilesha
25,Bettye Holmes,BettyeHolmes31@gmail.com,319-363-5257,29/08/1981,F,Nigeria,Ugep
26,Michael Vaughn,MichaelVaughn80@gmail.com,801-858-9021,01/04/1992,M,Nigeria,Nsukka
27,Patricia Sun,PatriciaSun85@gmail.com,858-444-5846,05/10/1993,F,Nigeria,Nnewi
28,Donna Conner,DonnaConner30@gmail.com,305-819-0856,07/12/1989,F,Nigeria,Eket
